Gh id,Wmo id,Name,Full name,Latitude,Longitude,Elevation,Station ty,Rg region,Di distric,Ba basin,Xcoo,Ycoo
O1ZARY01,"11761",Mìsto Albrechtice,"Mìsto Albrechtice, áry","500915","173338",498.000000000000000,AKS3,Moravskoslezskı,Bruntál,Opavice,17.56055556,50.15416667
O1KRNO01,"11762",Krnov,Krnov,"500410","174135",360.000000000000000,AKS2,Moravskoslezskı,Bruntál,Opavice,17.69305556,50.06944444
O1OPAV01,"11763",Opava,"Opava, Otice","495511","175234",270.000000000000000,AKS1,Moravskoslezskı,Opava,Moravice,17.87611111,49.91972222
P3PACO01,,Pacov,Pacov,"492800","145956",580.000000000000000,MSS,Vysoèina,Pelhøimov,Sázava,14.99888889,49.46666667
P3PELH01,,Pelhøimov,Pelhøimov,"492601","151404",520.000000000000000,MSS,Vysoèina,Pelhøimov,elivka,15.23444444,49.43361111
P3POLN01,,Polná,Polná,"492911","154222",480.000000000000000,MSS,Vysoèina,Jihlava,Sázava,15.70611111,49.48638889
P3POST01,,Postupice,Postupice,"494350","144700",421.000000000000000,MSS,Støedoèeskı,Benešov,Sázava,14.78333333,49.73055556
O1BELO01,"11765",Bìlotín,Bìlotín,"493513","174815",306.000000000000000,AKS1,Olomouckı,Pøerov,Odra,17.80416667,49.58694444
P3PRIB02,,Pøibyslav,"Pøibyslav, Høištì","493458","154545",530.000000000000000,MKS,Vysoèina,Havlíèkùv Brod,Sázava,15.76250000,49.58277778
P3PSAR01,,Psáøe,Psáøe,"494513","145804",475.000000000000000,MSS,Støedoèeskı,Benešov,Sázava,14.96777778,49.75361111
P3REND01,,Øendìjov,Øendìjov,"494600","150453",453.000000000000000,MSS,Støedoèeskı,Kutná Hora,Sázava,15.08138889,49.76666667
P3RICA01,,Øíèany,Øíèany,"500001","144018",385.000000000000000,MSS,Støedoèeskı,Praha-vıchod,Vltava,14.67166667,50.00027778
P3SAZA01,,Sázava,Sázava,"495227","145420",302.000000000000000,MSS,Støedoèeskı,Kutná Hora,Sázava,14.90555556,49.87416667
P3SIMA01,,Šimanov,Šimanov,"492741","152655",630.000000000000000,MSS,Vysoèina,Jihlava,elivka,15.44861111,49.46138889
O1CERV01,"11766",Èervená,Èervená,"494638","173231",748.129999999999995,AMS1,Moravskoslezskı,Opava,Odra,17.54194444,49.77722222
P3STOK01,,Štoky,Štoky,"492954","153515",530.000000000000000,ASS,Vysoèina,Havlíèkùv Brod,Sázava,15.58750000,49.49833333
P3STOK02,,Štoky,Štoky,"493005","153526",520.000000000000000,MSS,Vysoèina,Havlíèkùv Brod,Sázava,15.59055556,49.50138889
P3STRE01,,Støezimíø,Støezimíø,"493217","143705",588.000000000000000,MSS,Støedoèeskı,Benešov,Vltava,14.61805556,49.53805556
P3SVET01,,Svìtlá nad Sázavou,Svìtlá nad Sázavou,"494022","152427",410.000000000000000,MSS,Vysoèina,Havlíèkùv Brod,Sázava,15.40750000,49.67277778
P3VELI01,,Veliš,Veliš,"493959","144924",451.000000000000000,MSS,Støedoèeskı,Benešov,Sázava,14.82333333,49.66638889
P3VLAS01,,Vlašim,Vlašim,"494131","145341",415.000000000000000,AKS1,Støedoèeskı,Benešov,Sázava,14.89472222,49.69194444
P3VOTI01,,Votice,Votice,"493836","143800",500.000000000000000,MSS,Støedoèeskı,Benešov,Sázava,14.63333333,49.64333333
P3VRCH01,,Šebíøov,"Šebíøov, Vrcholtovice","493559","144504",475.000000000000000,MSS,Jihoèeskı,Tábor,Sázava,14.75111111,49.59972222
P3ZAHR01,,Maršovice,"Maršovice, Zahrádka","494357","143519",358.000000000000000,MSS,Støedoèeskı,Benešov,Sázava,14.58861111,49.73250000
P3ZDAR01,,ïár nad Sázavou,"ïár nad Sázavou, Stranov","493552","155611",605.000000000000000,ASS,Vysoèina,ïár nad Sázavou,Sázava,15.93638889,49.59777778
P4BBLR02,,Bedøichov,"Bedøichov, Blatnı rybník","504829","151013",755.000000000000000,HYDROAS,Libereckı,Jablonec nad Nisou,Kamenice,15.17027778,50.80805556
P4BHRE01,,Bedøichov,"Bedøichov, Høebínek","505006","150946",825.000000000000000,HYDROAS,Libereckı,Jablonec nad Nisou,Kamenice,15.16277778,50.83500000
P4BHRE02,,Bedøichov,"Bedøichov, Høebínek","505007","150938",830.000000000000000,PROFIL,Libereckı,Jablonec nad Nisou,Kamenice,15.16055556,50.83527778
P4BCHO01,,Bedøichov,"Bedøichov, Èerná hora","504958","151209",985.000000000000000,PROFIL,Libereckı,Jablonec nad Nisou,Kamenice,15.20250000,50.83277778
P4BKAM01,,Bedøichov,"Bedøichov, Kamenice","504834","151104",752.000000000000000,HYDROAS,Libereckı,Jablonec nad Nisou,Kamenice,15.18444444,50.80944444
P4BKRS01,,Bedøichov,"Bedøichov, Kristiánov","504853","151053",805.000000000000000,PROFIL,Libereckı,Jablonec nad Nisou,Kamenice,15.18138889,50.81472222
P4BKRS02,,Bedøichov,"Bedøichov, Kristiánov","504849","151053",795.000000000000000,PROFIL,Libereckı,Jablonec nad Nisou,Kamenice,15.18138889,50.81361111
P4BUPO01,,Bedøichov,"Bedøichov, U Podkovy","504943","151137",875.000000000000000,HYDROAS,Libereckı,Jablonec nad Nisou,Kamenice,15.19361111,50.82861111
P4BUPO02,,Bedøichov,"Bedøichov, U Podkovy","504936","151136",875.000000000000000,PROFIL,Libereckı,Jablonec nad Nisou,Kamenice,15.19333333,50.82666667
P4HKAS01,,Hejnice,"Hejnice, Kasárenská","504933","151636",780.000000000000000,HYDROAS,Libereckı,Liberec,Kamenice,15.27666667,50.82583333
P4HKAS02,,Hejnice,"Hejnice, Kasárenská","504934","151632",930.000000000000000,PROFIL,Libereckı,Liberec,Kamenice,15.27555556,50.82611111
P4KJEZ01,,Koøenov,"Koøenov, Jezdecká","504827","151735",775.000000000000000,HYDROAS,Libereckı,Jablonec nad Nisou,Kamenice,15.29305556,50.80750000
P4KJEZ02,,Koøenov,"Koøenov, Jezdecká","504829","151734",780.000000000000000,PROFIL,Libereckı,Jablonec nad Nisou,Kamenice,15.29277778,50.80805556
P4KJIC01,,Koøenov,"Koøenov, Jizerská cesta","505026","151816",920.000000000000000,HYDROAS,Libereckı,Jablonec nad Nisou,Jizera,15.30444444,50.84055556
P4KJIZ01,,Koøenov,"Koøenov, Jizerka","504910","152052",850.000000000000000,HYDROAS,Libereckı,Jablonec nad Nisou,Jizera,15.34777778,50.81944444
